Set	Total
{carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;lincosamide ;macrolide ;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, drug_and_biocide_resistance, multidrug}	4
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;phenicol ;tetracycline, multidrug, quinolone}	1
{aminoglycoside, nucleoside, streptothricin}	3
{cationic_antimicrobial_peptide, peptide, polymyxin}	1
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, drug_and_biocide_resistance, multidrug}	4
{lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{cephalosporin;fluoroquinolone ;fusidane ;macrolide, drug_and_biocide_and_metal_resistance, multidrug}	3
{MLS, lincosamide, ml}	5
{aminocoumarin ;aminoglycoside ;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{aminocoumarin ;aminoglycoside ;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, multidrug}	1
{glycylcycline;tetracycline, tetracycline}	2
{MLS, ml, streptogramin, streptogramin a, streptogramin a ;streptogramin}	5
{glycylcycline;tetracycline, multidrug, tetracycline}	2
{drug_and_biocide_resistance, glycylcycline;tetracycline, multidrug}	2
{diaminopyrimidine, sulfonamide, trimethoprim}	1
{amphenicol, drug_and_biocide_resistance, multidrug, phenicol}	2
{cationic_antimicrobial_peptide, glycopeptide, peptide, polymyxin}	2
{fosfomycin, lincosamide, multidrug}	1
{fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{MLS, lincosamide, multidrug, pleuromutilin ;streptogramin a ;streptogramin, streptogramin a}	1
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, drug_and_biocide_resistance, multidrug, tetracycline}	1
{diaminopyrimidine ;fluoroquinolone ;phenicol, drug_and_biocide_resistance, efflux, multidrug}	1
{aminoglycoside, diaminopyrimidine, trimethoprim}	1
{lincosamide ;pleuromutilin ;streptogramin, lincosamide, streptogramin a, lincosamide/streptogramin, multidrug}	1
{fluoroquinolone, multidrug, quinolone}	9
